City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,luebo,-5.35,21.42,72.21,78,69,2.26,CD,1580240062
217,miraflores,19.22,-98.81,78.8,7,40,9.17,MX,1580240062
218,dire dawa,9.59,41.87,60.26,76,77,1.54,ET,1580240062
219,sabzevar,36.21,57.68,33.89,53,0,1.03,IR,1580240062
220,goderich,43.75,-81.72,34.0,80,99,1.01,CA,1580240041
221,fagersta,60.0,15.79,39.2,100,100,6.93,SE,1580240062
222,kidal,18.44,1.41,74.46,9,0,8.99,ML,1580240062
223,pudozh,61.81,36.53,12.49,93,100,6.85,RU,1580240062
224,misratah,32.38,15.09,60.94,64,0,8.59,LY,1580240063
225,lata,40.16,-8.33,60.01,87,75,6.93,PT,1580240063
226,sao mateus do maranhao,-4.04,-44.48,79.12,93,99,3.71,BR,1580240063
227,pevek,69.7,170.31,-3.26,98,100,12.66,RU,1580240063
228,dzhalil,55.02,52.74,-1.41,91,100,4.36,RU,1580240063
229,alofi,-19.06,-169.92,80.6,88,30,6.93,NU,1580240026
230,huaraz,-9.53,-77.53,45.99,89,100,5.86,PE,1580240063
231,simi,9.57,-12.35,76.59,73,95,10.04,SL,1580240063
232,barreirinha,-2.79,-57.07,90.14,53,67,1.97,BR,1580240063
233,yulara,-25.24,130.99,84.2,18,0,10.29,AU,1580240063
234,provideniya,64.38,-173.3,-9.4,69,0,4.47,RU,1580240049
235,narsaq,60.92,-46.05,15.8,66,75,1.68,GL,1580240064
236,yar-sale,66.83,70.83,-6.34,93,100,18.88,RU,1580240064
237,murgab,37.5,61.97,37.4,62,0,6.93,TM,1580239837
238,zhangye,38.93,100.45,22.3,27,0,3.76,CN,1580240064
239,san matias,-16.37,-58.4,97.43,38,28,8.77,BO,1580240064
240,skelleftea,64.75,20.95,19.4,92,90,9.17,SE,1580240064
241,pali,25.77,73.33,55.51,55,11,6.4,IN,1580240064
242,shasta lake,40.68,-122.37,53.6,76,75,11.41,US,1580240064
243,zaysan,47.47,84.87,24.67,71,100,5.86,KZ,1580240064
244,kloulklubed,7.04,134.26,75.2,94,40,5.82,PW,1580240065
245,yenagoa,4.92,6.26,80.4,61,0,5.26,NG,1580240065
246,pitimbu,-7.47,-34.81,86.0,66,20,14.99,BR,1580240065
247,ballina,-28.87,153.57,73.4,100,56,1.81,AU,1580240065
248,matamoros,25.53,-103.25,69.8,21,5,10.29,MX,1580240065
249,bambous virieux,-20.34,57.76,75.2,78,20,3.36,MU,1580240065
250,maturin,9.75,-63.18,88.77,54,52,5.39,VE,1580239788
251,deniliquin,-35.53,144.97,61.0,81,0,7.0,AU,1580240065
252,norsup,-16.07,167.38,77.0,94,40,1.12,VU,1580240065
253,salalah,17.02,54.09,68.0,19,0,9.17,OM,1580240066
254,magdagachi,53.45,125.8,-2.22,86,0,5.41,RU,1580240066
255,esil,51.96,66.4,-10.88,97,0,5.73,KZ,1580240066
256,taltal,-25.4,-70.48,69.21,70,0,5.37,CL,1580240066
257,rosarito,32.33,-117.03,75.99,30,1,6.38,MX,1580239880
258,mbour,14.42,-16.96,80.6,36,91,10.29,SN,1580240066
259,faanui,-16.48,-151.75,83.01,73,100,9.13,PF,1580240066
260,yarada,17.65,83.27,75.2,88,0,2.24,IN,1580240066
261,hay river,60.82,-115.8,3.2,84,90,6.93,CA,1580240067
262,ranapur,22.65,74.53,58.03,51,6,4.59,IN,1580240067
263,acapulco,16.86,-99.89,81.82,55,0,8.08,MX,1580239801
264,tuatapere,-46.13,167.68,61.0,79,100,1.01,NZ,1580240067
265,liverpool,53.41,-2.98,43.0,81,34,19.46,GB,1580239971
266,manoel urbano,-8.84,-69.26,88.25,58,79,2.95,BR,1580240067
267,kununurra,-15.77,128.73,80.6,94,63,8.52,AU,1580239968
268,hami,42.8,93.45,9.9,74,6,0.87,CN,1580240067
269,fairbanks,64.84,-147.72,-18.0,74,20,2.89,US,1580240067
270,derzhavinsk,51.1,66.32,-8.34,94,0,7.45,KZ,1580240067
271,mithi,24.73,69.8,60.85,41,8,8.93,PK,1580240068
272,cascais,38.7,-9.42,60.01,93,75,8.05,PT,1580240068
273,belle fourche,44.67,-103.85,46.0,51,1,9.17,US,1580239924
274,san cristobal,7.77,-72.22,86.0,58,40,8.05,VE,1580240046
275,port lincoln,-34.73,135.87,67.48,71,0,6.2,AU,1580240066
276,galveston,29.37,-94.97,66.0,82,90,21.92,US,1580240068
277,moose factory,51.26,-80.61,3.2,84,90,6.93,CA,1580240068
278,ternate,0.8,127.4,73.47,90,0,2.35,ID,1580240029
279,atbasar,51.8,68.33,-13.11,98,77,8.41,KZ,1580240068
280,teyateyaneng,-29.15,27.75,58.64,35,52,2.13,LS,1580240069
281,mitsamiouli,-11.38,43.28,82.4,83,40,3.36,KM,1580240069
